Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,Red Cedar (K1306),Michigan State University,K06621/USDK-CBB-15,"late maturity (101 days), 1a bush-determinate, strong and erect stem and branches, 40 days to 50% bloom",common bacterial blight/anthracnose (Race 73),"Bean common mosaic virus (NL3 & NL8), rust (22:2)",root rot,,Dark Red Kidney,"Journal of Plant Registrations 2018, 12(2): 199-202",,,,
USA,Red Dog (09354),ProVita Inc,USWA 33/ K-59,"Type 1a growth habit, days to maturity-93, days to flowering-43 (50% bloom), mid-season maturity (90-100)",,,,201500392,Light Red Kidney,,,,,
USA,Red Flag (09353),ProVita Inc,Red Kloud/ Chinook 2000,"Type 1a growth habit, days to maturity-94, Medium maturity (90-100), days to flowering-42 (50% bloom)",,,,201500390,Light Red Kidney,,,,,
USA,Red Rover (EX 08520700),"Seminis Vegetable Seeds, Inc",Drake/ZAA3MntAAK,"Medium maturity (92 days), 1a bush-determinate, strong and erect stem, and branches, adapted to direct harvest, 38 days to 50% bloom","Bean common mosaic virus (""I"" gene resistance to all races), Aphanomyces root rot (none known)",,,200700159,Dark Red Kidney,,,,,
USA,Red Zone (09356),ProVita Inc,USWA 33/ Foxfire,"Type 1a growth habit, days to maturity-93, Midseason maturity (90-100), days to flowering-43 (50% bloom)",,,,201500391,Light Red Kidney,,,,,
USA,RedKanner (Cornell 10195),Cornell University,Redkote/Redkloud,"late maturity (105 days), 1a bush-determinate, strong and erect stem and branches, 45 days to 50% bloom",,,,9900359,Light Red Kidney,,,,,
USA,Remington (ROG123),Novartis Seeds Inc,PT84347(RR812607-4)/RR812659-19,"Early-Mid Season maturity, days to maturity-91, 2b growth habit- erect, indeterminate, guides short or not developed, days to flowering-48 (50% bloom)","Bean common mosaic virus (NL8, NY15), anthracnose (alpha, 73)/Rust (40, 48, 53)",,rust (44),9600337,Pinto,,,,,
USA,Rio Rojo (NDZ6249),NDSU Research Foundation,Buster/VAX 3,"Medium maturity (100 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed/adapted to direct harvest, 52 days to 50% bloom",,"rust (40-42, 52-57, 59-61, 20-4), anthracnose (Races 7 and 73), Bean common mosaic virus (NL-3)",common bacterial blight,201300090,Small Red,"Journal of Plant Registrations 2013, 7(2): 130-134",,,,
USA,Ronnie's Red (09360),"ProVita, Trinidad Benham Corp",USWA 33/Foxfire,"Medium maturity (93 days), 1a bush-determinate, strong and erect stem, and branches, adapted to direct harvest, 41 days to 50% bloom",,"rust, Bean common mosaic virus (NL8), curly top virus","bacterial brown spot, /common bacterial blight",201900047,Light Red Kidney,,,,,
USA,Rosetta (S08418),Michigan State University,S02754/S04503,"Medium maturity (96 days), 3a vine-indeterminate, short guides with no ability to climb, 43 days to 50% bloom",Bean common mosaic virus (NL3),,,,Pink,"Journal of Plant Registrations 2012, 6(3): 229-232",,,,
USA,Rosie (ND061106),NDSU Research Foundation,992-203-10/02-317,"late maturity (>100), days to maturity-106, 1a growth habit, days to flowering-43 (50% bloom)","rust (Most Mesoamerican races), anthracnose (73), Bean common mosaic virus (NL-3)",,"common bacterial blight, root rot, heat",201500066,Light Red Kidney,"Journal of Plant Registrations 2017, 11(1): 1-8",,,,
USA,RS 101,Ronald D,Single Selection from Olathe mutant seed,"Medium maturity (90-100), days to maturity-95, 2a growth habit-erect, indeterminate, guides short or not developed, days to flowering-41 (50% bloom)","Rust (40-42, 52-57, 59-61, 68-72, 76, 79, 82-84, 89-92, 95, 99)",Bean common mosaic virus,White Mold,8500149,Pinto,,,,,
USA,Ruby (09304),"ProVita, Inc",99238/Merlot,"Medium maturity (92 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 53 days to 50% bloom",,,,201400393,Small Red,,,,,
USA,Ryder (ROG013),"Syngenta Seeds, Inc",Ember/Pc 874-SPS4-5-1,"Early maturity (88 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 48 days to 50% bloom",Bean common mosaic virus (NL8),,,200500212,Small Red,,,,,
